,genres comedy,genres outros,genres action,genres fantasy,genres animation,genres drama,genres romance,genres sport,genres scifi,genres thriller
0,1,1,1,0,1,0,0,0,1,0
1,0,1,1,1,1,1,0,0,1,0
2,0,0,1,0,1,1,0,0,1,0
3,1,1,1,1,1,0,0,0,1,0
4,0,0,1,0,1,1,0,0,1,0
5,0,0,1,1,1,1,0,0,1,0
6,0,1,1,0,1,0,0,0,0,0
7,0,1,0,1,1,0,1,0,0,0
8,0,1,1,0,1,0,0,0,0,0
9,0,0,1,0,1,0,0,0,1,0
10,0,0,1,0,1,0,0,0,1,0
11,0,0,0,0,0,0,0,0,0,0
12,1,0,1,1,1,1,0,0,1,1
13,1,0,1,1,1,0,0,0,1,1
14,0,0,1,0,1,1,0,0,1,0
15,0,0,1,0,0,0,0,0,1,1
16,1,1,1,1,1,0,0,0,1,0
17,0,0,1,0,1,1,0,0,1,0
18,1,0,1,0,1,0,0,0,0,0
19,1,0,0,1,1,1,1,0,1,0
20,1,1,1,0,1,1,1,0,0,0
21,0,0,1,0,0,0,0,0,1,0
22,0,0,1,0,1,1,0,0,1,0
23,0,0,0,0,1,0,0,0,0,0
24,0,0,1,0,1,0,0,0,1,0
25,1,0,0,0,1,0,0,0,0,0
26,1,0,0,0,1,0,0,0,0,0
27,0,0,0,0,1,0,0,0,0,0
28,0,0,1,0,0,0,0,0,1,0
29,0,0,1,0,1,0,0,0,1,0
30,0,0,1,0,1,0,0,0,1,0
31,0,0,1,0,1,0,0,0,1,0
32,1,0,1,1,1,1,0,0,0,0
33,1,1,1,0,1,1,0,0,1,1
34,1,0,1,1,1,1,0,0,1,0
35,1,0,1,1,1,1,1,0,1,0
36,1,1,0,0,1,0,0,0,1,1
37,1,1,1,1,1,1,0,0,1,0
38,1,0,1,1,1,1,1,0,1,0
39,0,0,1,0,1,1,1,0,1,0
40,1,1,1,1,1,1,1,0,0,1
41,1,1,1,0,1,1,1,0,0,1
42,1,0,1,0,1,1,0,1,0,0
43,1,0,1,1,1,0,0,0,1,1
44,1,0,1,1,1,1,1,0,1,0
45,1,0,0,1,1,1,1,0,1,1
46,0,0,0,0,0,0,0,0,1,0
47,1,1,1,1,1,1,1,0,1,0
48,1,0,1,1,1,1,0,0,1,0
49,1,0,0,0,1,1,0,1,0,0
50,0,0,1,0,1,1,0,0,1,0
51,1,0,0,0,1,1,1,0,0,0
52,1,0,1,1,1,1,1,0,1,0
53,1,0,1,0,1,1,1,0,1,0
54,0,1,0,0,1,1,0,0,0,1
55,0,0,1,0,1,0,0,0,1,0
56,0,1,1,0,1,0,0,0,0,0
57,1,0,1,1,1,0,1,0,0,0
58,1,1,0,0,1,1,1,0,0,0
59,1,1,1,1,1,1,1,0,1,0
60,0,1,1,0,1,1,0,0,1,1
61,0,0,1,0,1,1,0,0,1,0
62,1,1,1,0,1,0,0,0,1,0
63,1,1,1,1,1,1,1,0,1,0
64,1,1,1,1,1,1,0,0,0,0
65,0,0,1,0,1,0,0,0,0,0
66,0,0,0,0,0,0,0,0,1,0
67,1,0,1,1,1,0,0,0,1,0
68,1,1,0,0,1,1,1,0,0,0
69,0,0,0,1,1,0,1,0,0,0
70,0,0,1,1,1,0,0,0,1,0
71,0,0,1,1,1,1,0,0,1,0
72,1,0,1,0,1,1,0,0,1,0
73,1,0,0,1,1,0,1,0,1,0
74,1,0,0,0,1,1,0,0,1,0
75,0,1,0,0,0,0,0,0,0,0
76,1,0,1,0,1,0,0,0,1,0
77,1,0,1,0,1,1,1,0,1,0
78,0,0,0,0,0,0,0,0,1,0
79,1,0,1,1,1,0,0,0,0,0
80,0,0,1,0,1,0,0,0,1,0
81,0,1,0,0,1,1,1,1,0,0
82,0,0,1,0,1,1,0,0,1,0
83,1,0,1,1,1,1,0,0,1,0
84,1,0,1,1,1,1,0,0,1,0
85,0,1,0,1,1,1,0,0,1,1
86,1,0,1,1,1,0,0,0,1,1
87,1,1,1,1,1,1,0,0,1,1
88,1,0,1,0,1,1,0,0,0,1
89,1,0,1,1,1,0,0,0,1,0
90,1,0,1,0,1,1,0,0,1,0
91,0,1,1,1,1,1,0,0,1,1
92,1,0,1,0,1,0,0,0,1,0
93,1,0,1,1,1,1,1,0,1,1
94,0,0,1,0,1,1,0,0,1,0
95,1,0,0,0,1,1,1,0,0,0
96,1,0,1,1,1,0,0,0,1,0
97,1,0,0,0,1,0,1,0,1,0
98,0,1,1,1,1,0,0,0,1,0
99,0,1,1,0,1,1,0,0,1,0
100,1,0,1,0,1,0,1,0,1,0
101,1,1,0,1,1,1,0,0,0,1
102,1,1,1,0,1,0,0,0,0,1
103,1,0,1,1,1,1,0,0,1,0
104,0,1,1,1,1,0,0,0,0,1
105,1,0,1,0,1,0,1,0,0,0
106,0,0,1,0,1,1,0,0,0,1
107,1,0,0,0,1,1,1,0,0,0
108,1,0,0,0,1,1,1,0,0,0
109,1,0,1,1,1,1,1,0,1,0
110,1,1,0,0,1,1,1,0,0,0
111,1,0,0,1,1,1,1,0,0,0
112,1,0,1,1,1,0,0,0,0,0
113,1,0,1,1,1,0,0,0,1,0
114,1,0,0,0,1,1,1,0,0,0
115,0,0,1,1,1,0,0,0,1,0
116,1,0,0,0,1,0,0,0,0,0
117,0,0,0,0,1,1,1,0,0,1
118,0,0,0,1,1,1,0,0,1,0
119,1,0,0,1,1,0,1,0,1,0
120,1,1,0,0,1,0,0,0,1,0
121,0,0,0,0,1,1,0,0,1,1
122,1,0,0,0,1,0,0,0,0,0
123,1,0,0,0,0,0,1,0,0,0
124,0,0,1,1,1,0,0,0,1,0
125,1,0,1,0,1,0,0,1,0,0
126,1,0,0,0,1,1,0,1,0,0
127,1,0,1,0,1,1,1,0,0,0
128,1,0,1,1,1,1,0,0,1,0
129,1,1,0,0,1,0,0,0,0,0
130,0,1,1,1,1,0,0,0,0,0
131,0,0,1,1,1,1,0,0,0,0
132,0,1,1,0,1,1,0,0,1,0
133,0,1,1,1,1,1,1,0,1,0
134,1,1,1,1,1,1,0,0,0,0
135,1,0,0,0,1,0,1,0,0,0
136,1,0,1,0,1,0,1,0,0,0
137,0,1,0,0,1,1,1,0,0,0
138,0,0,0,1,1,1,0,1,1,0
139,1,1,0,1,1,0,1,0,0,0
140,0,1,1,0,1,1,0,0,1,0
141,0,0,1,1,1,0,0,0,0,0
142,1,0,0,1,1,0,1,0,0,0
143,1,0,1,0,1,0,0,0,1,0
144,1,0,0,0,1,0,1,0,1,0
145,1,0,0,0,1,1,0,1,0,0
