,genres comedy,genres outros,genres action,genres animation,genres drama,genres crime,genres romance,genres family,genres thriller,genres documentation
0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,1,1,0,0,0,0
2,0,1,1,0,1,0,0,0,1,0
3,1,1,1,0,0,0,0,0,0,0
4,0,1,1,0,0,0,0,0,0,0
5,1,1,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0
7,0,0,1,0,0,1,0,0,1,0
8,0,0,1,0,1,1,0,0,0,0
9,0,0,1,0,1,0,1,0,0,0
10,0,1,1,0,1,0,0,0,0,0
11,0,2,1,0,0,0,0,0,0,0
12,1,0,0,0,0,0,0,0,0,1
13,1,0,0,0,0,0,1,0,0,0
14,1,0,0,0,1,1,0,0,0,0
15,0,2,0,0,0,0,0,0,0,1
16,1,2,0,0,0,0,0,0,0,1
17,0,0,0,0,1,0,0,0,0,0
18,0,0,0,0,1,0,0,0,0,0
19,1,0,1,0,1,1,1,0,0,0
20,0,2,1,0,1,0,1,0,0,0
21,0,1,1,0,1,0,1,1,0,0
22,0,0,0,0,1,1,1,0,0,0
23,0,0,1,0,1,0,1,0,1,0
24,0,0,0,0,0,0,0,0,0,1
25,0,0,0,0,1,1,0,0,1,0
26,1,0,0,0,0,0,0,0,0,0
27,0,0,0,0,1,0,0,0,0,0
28,0,1,0,0,1,1,0,0,0,0
29,0,0,0,0,0,1,0,0,1,0
30,1,0,0,0,1,0,1,0,0,0
31,0,0,0,0,1,1,1,0,0,0
32,0,0,0,0,0,0,0,0,0,1
33,0,0,0,0,0,0,1,0,0,0
34,0,0,1,0,1,0,1,0,0,0
35,1,0,0,0,0,0,0,0,0,0
36,0,0,0,0,1,1,0,0,0,0
37,0,1,0,0,1,0,0,0,0,0
38,0,1,0,0,1,1,0,0,0,0
39,1,0,0,0,1,0,1,0,0,0
40,0,1,0,0,0,0,0,0,0,0
41,1,0,0,0,1,0,1,0,0,0
42,1,0,0,0,0,1,0,0,0,0
43,0,2,0,0,0,0,0,0,1,0
44,0,1,1,0,1,1,0,0,0,0
45,1,2,1,1,1,0,0,1,0,0
46,1,0,0,0,0,0,1,1,0,0
47,0,1,0,0,1,0,0,0,0,0
48,0,0,0,0,0,0,0,1,0,0
49,1,1,0,0,0,0,0,0,0,0
50,0,0,0,0,1,0,0,0,0,0
51,1,0,0,0,0,0,0,0,0,1
52,1,0,0,0,0,0,1,0,0,0
53,1,0,0,0,0,0,0,1,0,0
54,0,0,0,0,1,0,1,0,0,0
55,1,2,0,1,0,0,0,1,0,0
56,0,0,0,0,1,0,0,0,1,0
57,0,2,1,1,1,0,0,0,0,0
58,0,2,1,1,1,0,0,0,0,0
59,1,1,0,1,0,1,0,1,0,0
60,1,0,0,0,0,0,0,0,0,1
61,1,0,0,0,0,0,0,0,0,0
62,1,0,0,0,0,0,0,0,0,1
63,0,2,1,1,1,0,0,0,0,0
64,1,0,0,0,0,0,0,0,0,1
65,0,0,0,0,1,0,1,0,0,0
66,0,0,1,0,1,1,0,0,0,0
67,1,0,0,0,0,0,0,0,0,0
68,0,1,0,0,1,0,0,0,0,0
69,0,0,0,0,1,1,0,0,1,0
70,0,0,0,0,1,0,0,0,0,0
71,1,0,0,0,1,0,1,0,0,0
72,0,0,0,0,1,1,0,0,0,0
73,0,0,0,0,1,0,0,0,0,0
74,0,0,0,0,1,1,0,0,0,0
75,1,0,0,0,0,0,0,0,0,0
76,0,0,1,0,1,1,0,0,0,0
77,0,0,1,0,0,1,0,0,1,0
78,0,0,0,0,1,0,0,0,0,0
79,0,0,1,0,1,0,0,0,0,0
80,0,0,0,0,1,0,0,0,0,0
81,0,0,1,0,1,0,0,0,1,0
82,0,0,0,0,1,0,0,0,0,0
83,1,0,0,0,0,0,0,0,0,0
84,1,0,1,0,1,0,0,1,0,0
85,0,0,1,0,1,0,0,0,0,0
86,0,0,1,0,1,0,1,0,0,0
87,0,0,0,0,0,0,1,1,0,0
88,0,1,0,0,1,0,0,0,0,0
89,0,2,0,0,1,0,0,0,0,0
90,0,0,0,0,1,0,0,0,0,0
91,0,1,0,0,0,0,0,0,0,0
92,0,0,1,0,0,0,0,0,1,0
93,0,1,1,0,1,0,0,0,0,0
94,0,0,0,0,1,1,0,0,1,0
95,1,2,1,1,0,0,0,1,0,0
96,0,0,0,0,1,0,0,0,0,0
97,0,0,0,0,1,0,1,0,0,0
98,1,0,0,0,0,1,0,0,0,0
99,0,0,0,0,1,1,0,0,1,0
100,1,1,1,1,1,0,0,0,0,0
101,1,2,0,0,1,0,0,0,0,0
102,0,0,0,0,1,0,1,0,0,0
103,1,2,1,1,1,0,0,0,1,0
104,0,1,1,0,0,0,0,0,1,0
105,0,0,1,0,0,0,0,0,1,0
106,1,0,0,0,0,0,0,0,0,0
107,0,2,1,1,1,0,0,0,1,0
108,0,1,0,0,1,0,1,0,1,0
109,0,1,1,0,1,1,0,0,1,0
110,1,0,0,0,1,0,0,0,0,0
111,0,0,1,0,1,1,0,0,1,0
112,0,1,1,0,0,0,1,0,1,0
113,1,0,0,0,1,0,1,0,0,0
114,0,2,1,0,0,0,0,1,0,0
115,1,1,0,0,1,0,0,0,0,0
116,0,2,1,0,0,0,0,0,1,0
